,endTime,artistName,trackName,msPlayed
0,2019-09-20 18:05,Elvis Presley,From a Jack to a King,147973
1,2019-09-20 18:08,Elvis Presley,From a Jack to a King,147973
2,2019-09-20 18:26,Marty Robbins,Devil Woman,130966
3,2019-09-21 17:49,Marty Robbins,Devil Woman,6843
4,2019-09-21 17:49,Jimi Hendrix,May This Be Love,39967
5,2019-09-21 17:52,Ofenbach,Be Mine,161322
6,2019-09-21 18:31,Cage The Elephant,Punchin' Bag,119377
7,2019-09-27 16:12,Huncho Jack,Black & Chinese,4396
8,2019-09-27 16:12,Guns N' Roses,Sweet Child O' Mine,1873
9,2019-09-27 16:12,Future,Rich $ex,3872
10,2019-09-27 16:18,Prince,Cream - Without Rap Monologue,253373
11,2019-09-27 16:22,Queen,Another One Bites The Dust - Remastered 2011,214653
12,2019-09-27 16:24,Jay Rock,Shit Real (feat. Tee Grizzley),140339
13,2019-09-27 16:27,KISS,Heaven's On Fire,201400
14,2019-09-27 16:31,Kanye West,Yikes,188773
15,2019-09-27 16:35,Nathaniel Rateliff & The Night Sweats,S.O.B.,247612
16,2019-09-27 16:38,Frank Ocean,Forrest Gump,194840
17,2019-09-27 16:41,Kanye West,Street Lights,189906
18,2019-09-27 16:43,Two Feet,Go Fuck Yourself,129599
19,2019-09-27 16:46,Bryson Tiller,Run Me Dry,169266
20,2019-09-27 16:49,The Weeknd,Attention,197653
21,2019-09-27 16:53,Mike Posner,I Took A Pill In Ibiza - Seeb Remix,197933
22,2019-09-27 17:09,Darnell Williams,Pale Fire,189655
23,2019-09-27 17:41,J. Cole,Immortal,201666
24,2019-09-27 17:44,Mura Masa,Love$ick (feat. A$AP Rocky),192160
25,2019-09-27 17:47,AC/DC,Girls Got Rhythm,201517
26,2019-09-27 17:47,2 Chainz,Countdown,3234
27,2019-09-27 17:47,Kanye West,Freestyle 4,2132
28,2019-09-27 17:48,YG,Me & My Bitch,2970
29,2019-09-27 17:48,ScHoolboy Q,Grooveline Pt. 2,48516
30,2019-09-27 17:48,MC Hammer,U Can't Touch This,2103
31,2019-09-27 17:48,Kevin Gates,Time for That,10618
32,2019-09-27 17:52,Kendrick Lamar,King Kunta,234693
33,2019-09-27 17:55,John Mayer,Moving On and Getting Over,5043
34,2019-09-27 17:55,Calvin Harris,This Is What You Came For (feat. Rihanna),182865
35,2019-09-27 17:55,Juicy J,Real D Boyz,974
36,2019-09-27 17:55,Rae Sremmurd,Take It Or Leave It,1458
37,2019-09-27 17:56,Mann,Time Collapse (feat. Dizzy Wright),1387
38,2019-09-27 17:56,2 Chainz,Good Drank,1174
39,2019-09-27 17:56,Chance the Rapper,No Problem (feat. Lil Wayne & 2 Chainz),1695
40,2019-09-27 17:56,Future,Intro,2343
