,trackName,artistName,skip,play,like
0,"""C"" is for Cookie",Cookie Monster,1,0,0
1,$ave Dat Money (feat. Fetty Wap & Rich Homie Quan),Lil Dicky,1,1,0
2,'Round Here,IODONTPLAY,0,2,1
3,'Till I Collapse,Eminem,1,1,0
4,(Bonus) Air Canada,RiFF Raff & DOLLABiLLGATES,0,2,1
5,(I Can't Get No) Satisfaction - Mono Version,The Rolling Stones,2,9,1
6,"(I've Had) The Time of My Life - From ""Dirty Dancing"" Soundtrack",Bill Medley,0,1,1
7,(prelude),Zachary Bruno,0,2,1
8,03' Adolescence,J. Cole,1,4,1
9,"1,000 Pounds",Trademark Da Skydiver,0,1,1
10,"1,2,3,4",Guitar Tribute Players,0,1,1
11,10 Bands,Drake,1,3,1
12,100,Safakash,1,2,0
13,100 (feat. Drake),The Game,2,2,0
14,100it Racks,Future,2,3,0
15,"12 Pieces for Children: No. 6, My Darling and Marjan (Variation)",Komitas,0,4,1
16,1999,100s,0,1,1
17,1AM,YG,1,1,0
18,"1Train (feat. Kendrick Lamar, Joey Bada$$, Yelawolf, Danny Brown, Action Bronson & Big K.R.I.T.)",A$AP Rocky,0,4,1
19,2 Phones,Kevin Gates,2,0,0
20,"2,000 Man",KISS,1,3,1
21,21st Century,Red Hot Chili Peppers,0,1,1
22,"24 Préludes, Op. 28 : 15. in D Flat Major (""Raindrop"")",Frédéric Chopin,1,1,0
23,"24 Préludes, Op. 28 : 18. in F Minor",Frédéric Chopin,2,0,0
24,"24 Préludes, Op. 28 : 7. in A Major",Frédéric Chopin,3,0,0
25,"24 Préludes, Op. 28: No. 4. in E Minor",Frédéric Chopin,2,3,0
26,29 #Strafford APTS,Bon Iver,0,4,1
27,30 Hours,Kanye West,2,3,0
28,30 for 30 Freestyle,Drake,2,2,0
29,3005,Childish Gambino,0,1,1
30,3500 (feat. Future & 2 Chainz),Travis Scott,0,4,1
31,36 OZ,Skeme,0,1,1
32,3AM,Matchbox Twenty,1,0,0
33,4 AM,2 Chainz,1,2,0
34,"4 Postludes for Piano & String Orchestra: No. 1, Larghetto - Andante",Valentin Silvestrov,0,3,1
35,"4 Postludes for Piano & String Orchestra: No. 3, Larghetto, con moto poco rubato",Valentin Silvestrov,0,5,1
36,4 Your Eyez Only,J. Cole,1,2,0
37,42 (Forty Deuce),Your Old Droog,0,2,1
38,420 (Blaze Up),Snoop Dogg,1,1,0
39,4422,Drake,3,2,0
40,4th Dimension,KIDS SEE GHOSTS,0,2,1
41,5 Million Intro,Gucci Mane,3,5,0
42,5 O'Clock (feat. Lily Allen & Wiz Khalifa),T-Pain,0,2,1
43,51st Anniversary,Jimi Hendrix,1,2,0
44,6 God,Drake,0,4,1
45,6 Man,Drake,2,2,0
46,"6 Piano Pieces, Op. 26: No. 2, Pastoral Atmosphere",Toivo Kuula,0,3,1
47,6 on 4's (I Know),Shawn Harris,2,5,0
48,679 (feat. Remy Boyz),Fetty Wap,0,2,1
49,6PM In New York,Drake,1,3,1
50,7,Prince,2,2,0
51,"7 Anniversaries: No. 1, For Aaron Copland",Leonard Bernstein,0,1,1
52,8 Mile (feat. Gucci Mane),Zaytoven,1,4,1
53,81,Sean Leon,2,5,0
54,99 Problems,Hugo,1,4,1
55,A Distant Storm,Ryan Stewart,0,3,1
56,A Jeweled Love,Tom Merrall,0,1,1
57,A Little Less Conversation - JXL Radio Edit Remix,Elvis Presley,0,1,1
58,A Lonely Night,The Weeknd,0,4,1
59,A Mind of Colours,Jonny Southard,0,2,1
60,A Place I Know,Jacob LaVallee,0,2,1
61,A Precious Place,Stephen Wake,0,1,1
62,A Quiet Place,Somniacs,0,1,1
63,A Simple Little Lullaby,Eamonn Watt,0,3,1
64,A Tale of 2 Citiez,J. Cole,0,2,1
65,A Walk,Tycho,1,1,0
66,A la manière de. . . Borodine,Maurice Ravel,0,1,1
67,A.D.H.D,Kendrick Lamar,0,4,1
68,Above the Clouds,Lauge,0,1,1
69,Abrazo,Ian Wong,0,1,1
70,Achilles Last Stand - Remaster,Led Zeppelin,0,2,1
71,Acquainted,The Weeknd,3,0,0
72,"Adagio for Strings, Op. 11",Samuel Barber,0,1,1
73,"Adagio in F, H.XVII No.9",Franz Joseph Haydn,0,1,1
74,Adiemus,Karl Jenkins,2,0,0
75,Affirmation,Kristen Nichols,0,1,1
76,After The Storm,Guitar Tribute Players,0,1,1
77,Aftergold,Big Wild,0,4,1
78,Afterhours feat. Diplo & Nina Sky,TroyBoi,0,1,1
79,Ain't No Time,Future,3,2,0
80,Ain't Too Hard,Kevin Gates,0,4,1
81,Air,Dzeko & Torres,1,0,0
