,id,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,trackName,artistName
0,5Le9sSLxWIaIEPPppZ9EuF,0.33,0.673,254118.0,0.8,0.0,7.0,0.689,-6.253,1.0,0.214,135.997,4.0,0.268,'Round Here,IODONTPLAY
1,5F7bIFd3xWuoXmvXFqFl5M,0.0825,0.744,365950.0,0.57,0.0,3.0,0.121,-4.359,0.0,0.0357,75.019,4.0,0.6,(Bonus) Air Canada,RiFF Raff & DOLLABiLLGATES
2,2PzU4IB8Dr6mxV3lHuaG34,0.0383,0.723,222813.0,0.863,0.0317,2.0,0.128,-7.89,1.0,0.0338,136.302,4.0,0.931,(I Can't Get No) Satisfaction - Mono Version,The Rolling Stones
3,3qLfQNPEE27KI3Hgd9Om8A,0.991,0.295,135653.0,0.0706,0.92,9.0,0.101,-20.157,0.0,0.0439,76.425,1.0,0.139,(prelude),Zachary Bruno
4,4txn9qnwK3ILQqv5oq2mO3,0.388,0.519,264213.0,0.809,0.0,1.0,0.275,-6.362,1.0,0.556,146.02,4.0,0.262,03' Adolescence,J. Cole
5,12d5QFwzh60IIHlsSnAvps,0.265,0.825,177733.0,0.756,2.15e-06,11.0,0.0762,-3.687,0.0,0.383,172.938,4.0,0.888,10 Bands,Drake
6,1zWppRQF5W5lIbTucUd15q,0.795,0.732,169326.0,0.412,1.23e-05,9.0,0.101,-10.751,1.0,0.164,180.156,4.0,0.164,100,Safakash
7,6FyDii5Aec6cNcjLzvS37z,0.0136,0.801,334360.0,0.521,0.0,4.0,0.179,-9.871,0.0,0.28,108.025,4.0,0.412,100 (feat. Drake),The Game
8,1XWcdNQvGrX32fH09CwuWI,0.226,0.82,265038.0,0.599,0.0489,10.0,0.105,-9.796,0.0,0.141,137.022,4.0,0.356,100it Racks,Future
9,2WARGxFEK8D6Rm2NWnp2YZ,0.992,0.559,77093.0,0.00981,0.92,4.0,0.0625,-37.217,1.0,0.077,125.489,3.0,0.0764,"12 Pieces for Children: No. 6, My Darling and Marjan (Variation)",Komitas
10,1eLU27PPFxBhbp1CBjPh9J,0.351,0.489,372173.0,0.878,0.0,2.0,0.698,-3.36,1.0,0.368,81.497,4.0,0.775,"1Train (feat. Kendrick Lamar, Joey Bada$$, Yelawolf, Danny Brown, Action Bronson & Big K.R.I.T.)",A$AP Rocky
11,0wdKiSBUT7aZkXUIdJWcwC,0.157,0.895,240000.0,0.681,0.0,7.0,0.189,-5.267,0.0,0.358,121.918,4.0,0.554,2 Phones,Kevin Gates
12,3TjM3SIVQksTj3pNVUZPv8,0.166,0.546,295387.0,0.937,4.89e-06,8.0,0.312,-6.025,1.0,0.0408,134.065,4.0,0.82,"2,000 Man",KISS
13,64QOuxwy5qMEiggjHRcqel,0.99,0.265,54000.0,0.231,0.941,5.0,0.103,-16.225,1.0,0.0488,177.677,3.0,0.289,"24 Préludes, Op. 28 : 18. in F Minor",Frédéric Chopin
